TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,NFB
^FINANCIAL,01/03/2018,2229.14,2246.37,2228.92,2240.64,1557189,-25856
AUB,01/03/2018,59.8,60,59.7,60,21650,1219291
BDO,01/03/2018,163.5,163.8,160.1,161,3985920,-124962833
BPI,01/03/2018,108.1,110.5,108,110,1831800,133918183
CHIB,01/03/2018,33.25,33.3,33.25,33.3,85200,-579344
EW,01/03/2018,32.1,33,32,33,1964100,-20941300
MBT,01/03/2018,101.6,105,101.6,104.6,3764060,30600312
PBB,01/03/2018,11.98,12.6,11.72,12.6,322000,3402000
PBC,01/03/2018,24,24.25,24,24.25,1300,0
PNB,01/03/2018,56.5,57.5,56.5,57.15,48480,-1891024
PTC,01/03/2018,140,140,110,119.9,3290,0
RCB,01/03/2018,55.35,55.95,55.35,55.4,80690,-336951
SECB,01/03/2018,252,254.8,250.2,253.8,511580,-24023624
UBP,01/03/2018,87,87,86.65,86.8,8730,44689
AGF,01/03/2018,3.4,3.45,3.39,3.45,14000,0
BKR,01/03/2018,1.97,1.99,1.94,1.98,476000,0
BLFI,01/03/2018,3.83,3.83,3.83,3.83,12000,0
COL,01/03/2018,15.5,15.5,15.4,15.4,1800,0
FAF,01/03/2018,0.72,0.72,0.72,0.72,50000,0
I,01/03/2018,1.74,1.8,1.74,1.8,56000,-3480
MED,01/03/2018,0.6,0.6,0.58,0.58,269000,0
NRCP,01/03/2018,0.97,0.97,0.95,0.97,492000,0
PSE,01/03/2018,244,244,237,237,94950,-22208280
SLF,01/03/2018,2000,2000,1925,1925,35,0
V,01/03/2018,1.25,1.26,1.25,1.26,145000,-94250
^INDUSTRIAL,01/03/2018,11255.93,11334.09,11244,11299.38,1084003,132321
ACR,01/03/2018,1.35,1.35,1.33,1.34,122000,13400
AP,01/03/2018,41.6,41.6,41.1,41.45,1023300,13747700
BSC,01/03/2018,0.217,0.223,0.217,0.22,590000,0
EDC,01/03/2018,5.7,5.74,5.59,5.6,8593900,-25665068
FGEN,01/03/2018,17,17.08,16.86,16.92,896100,-162788
FPH,01/03/2018,62,63.3,62,62.55,35370,-1089452
H2O,01/03/2018,6.2,6.2,5.83,5.9,215400,0
MER,01/03/2018,328.6,330,328.2,330,597570,65189912
MWC,01/03/2018,28.5,28.5,27.4,27.4,3018600,9285335
PCOR,01/03/2018,9.21,9.33,9.17,9.23,4358700,1383478
PERC,01/03/2018,6.1,6.1,6.05,6.06,59100,0
PHEN,01/03/2018,1.58,1.63,1.58,1.63,1428000,0
PNX,01/03/2018,13,13.02,12.68,12.78,157100,0
SHLPH,01/03/2018,61.4,62.6,61.35,62.5,119610,1892875
SPC,01/03/2018,5.5,5.54,5.5,5.5,153600,27500
VVT,01/03/2018,23.05,23.05,23.05,23.05,100,0
ANI,01/03/2018,12.14,12.38,12.14,12.38,517700,255020
BMM,01/03/2018,139.3,139.3,139.1,139.1,140,0
CAT,01/03/2018,19.84,20.35,19.82,19.84,5700,0
CNPF,01/03/2018,16.22,16.22,15.96,16,324700,3359920
DMPL,01/03/2018,10.8,11,10.8,11,15000,8656
DNL,01/03/2018,11.06,11.2,11.06,11.1,1304700,1699556
EMP,01/03/2018,7.38,7.66,7.35,7.55,2716200,4946127
FOOD,01/03/2018,0.61,0.62,0.61,0.62,242000,0
GSMI,01/03/2018,26.85,26.85,26.4,26.6,234700,0
JFC,01/03/2018,253.4,256.8,253,255.4,745780,-6171952
LFM,01/03/2018,58.55,58.55,58.55,58.55,200,0
MAXS,01/03/2018,18.6,18.6,18.24,18.32,49900,331660
MG,01/03/2018,0.2,0.204,0.2,0.204,120000,24080
PF,01/03/2018,529,534.5,527,528,32260,-1274175
PIP,01/03/2018,2.21,2.21,2.18,2.18,5346000,844660
PIZZA,01/03/2018,13.46,13.52,13.36,13.4,199000,536378
RCI,01/03/2018,2.5,2.6,2.25,2.6,149000,0
RFM,01/03/2018,4.97,4.97,4.97,4.97,67000,273350
ROX,01/03/2018,4.03,4.03,4,4,36000,0
SFI,01/03/2018,0.133,0.133,0.131,0.131,3260000,3990
URC,01/03/2018,151.3,154,149.5,154,1149900,48892770
VITA,01/03/2018,1.95,1.96,1.92,1.93,1584000,198760
VMC,01/03/2018,2.85,2.85,2.85,2.85,33000,0
ABG,01/03/2018,17.36,17.88,17.28,17.38,15500,0
CA,01/03/2018,60.7,60.7,60.5,60.5,1060,0
CAB,01/03/2018,83.5,83.5,83.5,83.5,10,0
CHP,01/03/2018,4.87,4.98,4.85,4.86,2251000,1907719
DAVIN,01/03/2018,5.36,5.36,5.2,5.27,234300,0
EAGLE,01/03/2018,14.6,14.7,14.58,14.58,377300,1961062
EEI,01/03/2018,12,12.5,11.9,11.9,895700,4940998
HLCM,01/03/2018,10.78,10.78,10.62,10.62,134300,-935130
MWIDE,01/03/2018,18.1,18.1,17.88,17.9,2093600,7758936
PHN,01/03/2018,8.4,8.41,8.4,8.4,97000,0
T,01/03/2018,1.18,1.22,1.18,1.19,172000,0
VUL,01/03/2018,0.77,0.79,0.77,0.79,394000,0
CIP,01/03/2018,165,165,165,165,10,0
CROWN,01/03/2018,1.91,1.93,1.9,1.9,28000,9550
EURO,01/03/2018,1.66,1.66,1.66,1.66,2000,0
LMG,01/03/2018,4.15,4.15,4.15,4.15,12000,0
MVC,01/03/2018,3.2,3.2,3.2,3.2,3000,0
PPC,01/03/2018,6.5,6.76,6.5,6.75,81000,0
CIC,01/03/2018,63.2,64,63,63,427810,1093820
IMI,01/03/2018,18.7,18.7,18.2,18.34,570200,-2942874
ION,01/03/2018,2.23,2.23,2.07,2.11,3888000,171200
PMPC,01/03/2018,8.2,8.74,8.2,8.69,1400,0
SSP,01/03/2018,1.99,2.02,1.92,1.93,452000,-195770
TECH,01/03/2018,46.5,50,46.5,49,628500,0
^HOLDING,01/03/2018,8652.25,8878.51,8622.92,8870.39,1887928,43710
ABA,01/03/2018,0.315,0.315,0.3,0.3,130000,0
AC,01/03/2018,1015,1041,1015,1040,497855,-171889490
AEV,01/03/2018,74.15,74.7,73.9,74.5,738030,24615283
AGI,01/03/2018,16,16.5,16,16.42,12510900,-27093552
ANS,01/03/2018,7.05,7.05,7.03,7.04,14800,0
APO,01/03/2018,0.95,0.99,0.94,0.99,32000,0
ATN,01/03/2018,0.41,0.43,0.41,0.43,2370000,0
ATNB,01/03/2018,0.46,0.48,0.46,0.47,380000,0
COSCO,01/03/2018,7.7,7.7,7.6,7.64,477600,1323581
DMC,01/03/2018,14.6,14.64,14.04,14.14,6155400,-3519532
FDC,01/03/2018,7.8,7.8,7.7,7.7,77600,0
GTCAP,01/03/2018,1295,1297,1285,1293,152245,23093700
HI,01/03/2018,7.36,7.36,7.36,7.36,3600,0
JGS,01/03/2018,73.8,76.5,72.1,76.5,1535580,54290521
JOH,01/03/2018,5.88,5.88,5.76,5.76,17600,0
KPH,01/03/2018,5.4,5.4,5.4,5.4,5300,0
LIHC,01/03/2018,0.69,0.72,0.68,0.7,243000,48960
LPZ,01/03/2018,5.6,5.73,5.58,5.66,266300,708271
LTG,01/03/2018,18.74,19.02,18.74,18.74,697500,945096
MHC,01/03/2018,0.305,0.305,0.305,0.305,110000,0
MJIC,01/03/2018,3.32,3.32,3.31,3.31,9000,0
MPI,01/03/2018,6.88,6.91,6.77,6.78,21978400,-17204746
PA,01/03/2018,0.045,0.045,0.043,0.044,3500000,4400
POPI,01/03/2018,2.04,2.06,2.04,2.05,377000,0
PRIM,01/03/2018,1.13,1.13,1.11,1.13,77000,0
REG,01/03/2018,2.6,2.64,2.51,2.64,69000,0
SGI,01/03/2018,1.6,1.72,1.57,1.67,2410000,10140
SM,01/03/2018,990,1048,990,1040,436580,133306440
SMC,01/03/2018,111.6,114.8,111.6,114.8,410820,25075633
SPM,01/03/2018,2.64,2.64,2.59,2.6,43000,0
TFHI,01/03/2018,283,287,279,286.2,6510,11320
UNI,01/03/2018,0.22,0.22,0.217,0.217,470000,-19800
WIN,01/03/2018,0.191,0.191,0.191,0.191,20000,3820
ZHI,01/03/2018,0.205,0.205,0.205,0.205,10000,0
^PROPERTY,01/03/2018,3987.34,4068.5,3984.77,4068.5,1260235,202123
ALCO,01/03/2018,0.89,0.9,0.88,0.88,332000,0
ALHI,01/03/2018,12.6,13,12.6,12.98,35600,38862
ALI,01/03/2018,44.7,45.5,44.6,45.5,10030500,145655830
ARA,01/03/2018,2.29,2.38,2.29,2.3,25000,0
BEL,01/03/2018,3.89,3.89,3.79,3.84,1942000,2080540
